all_kinds_steve	Имя нам Стив!
let_steve_help	Позволь Стиву помочь!
this_is_steve	Это Стив
radius_gte	Радиус должен быть больше или равен {0}м
radius_lte	Радиус должен быть меньше или равен {0}м
changed_radius	Радиус изменён с {0}м на {1}м
invalid_radius	Неверный радиус
current_radius	Текущий радиус {0}м
cant_find_place	Место не найдено
current_location	Ваше местоположение установлено в {0},{1}.  \nЭта точка станет центром поиска.
water_points_will_be	Точки попавшие в водоёмы будут {0}
skipped	пропущены
ignored	игнорироваться
classic_mode	Классический режим
enabled	включён
disabled	выключен
help	Помощь
invalid_num_points	
scan_time_take	Генерация может занять от 5 до 15 минут.
finding_location	Ищем координаты... сфокусируйтесь на намерении!
nothing_but_water_points	Не нашлось ничего на суше. Попробуйте ещё раз позже
num_water_points_skipped_so_far	Общее число пропущенных точек в воде: {0}
num_water_points_skipped	Число пропущенных точек в воде: {0}
point_generated	Точка сгенерирована
no_points_detected_quantum	Точек не найдено, выдаём квантово-случайную координату.
no_points_detected	В выбранной области точек не найдено.
address	Адрес
get_intent_suggestions	Рандомизируем английский словарь для Вас
define	определение 
spotify_search	Искать в Spotify
intent_suggestions	Варианты намерений
num_water_attractors_skipped	Число пропущенных аттракторов в воде: {0}
num_water_voids_skipped	Число пропущенных войдов в воде: {0}
pair_points_detected	Пара точек сгенерирована
generating_chain	Генерируем цепочку. В зависимости от радиуса, числа и типа точек это может занять продолжительное время.
chain_nothing_found	Пока что для точки #{0} аномалий не найдено. Продолжаем поиски...
chain_nothing_but_water_points	Для точки #{0} не нашлось ничего, кроме водоёмов. Попытайтесь снова позднее.
chain_num_water_points_skipped_so_far	Общее число пропущенных координат в воде для точки#{0}: {1}
chain_num_water_points_skipped	Число пропущенных координат в воде для точки #{0}: {1}
chain_generated	Цепочка сгенерирована
mystery_point_generated	Загадочная точка сгенерирована
exception_caught	Исключение в программе
error_sorry	Простите, что-то пошло не так!
open	Открыть
chain_map_open	Цепочка в Гугл Картах
view_on_google_maps	Смотреть в Гугл Картах
street_view	Просмотр Улиц
google_earth	Гугл Планета Земля
location	Место
open_map	Открыть карту
map	Карты
earth	Земля
view_with_google	Посмотреть в Гугл
google_maps	Гугл Карты
google_street_view	Гугл Просмотр улиц
download_app	Скачать приложение
md_anomaly	Аномалия
md_attractor	Аттрактор
md_void	Войд
md_options	Опции/Помощь
md_blindspotsmore	Слепые пятна и Прочее
md_mylocation	Мои места
md_lets_search_paid	
md_invalid_action	
md_lets_search	
md_how_many_idas	
md_choose_qrng	
md_invalid_qrng	
md_camera	
md_anu	
md_temporal	
md_temporal_server	
md_temporal_phone	
md_anu_leftovers	
md_gcp_retro	
md_collecting_camera_entropy	
md_collecting_temporalphone_entropy	
yes	
no	
addons	
update_settings_q	
select_radius	
include_water_points_q	
show_google_street_earth_q	
invalid_answer	
anonymized_id_is	
show_google_street_earth	
hidden	
displayed	
get_locsearch_skipwater_pack	
get_maps_pack	
bs_quantum	
bs_quantum_time	
bs_intent_suggestions	
bs_mystery_point	
bs_pair	
bs_pseudo	
bs_scan	
bs_chains	
bs_dice	
bs_back	
welcome_randonautica	
welcome_beginners	
welcome_report_share	
first_send_location	
choose_chain_type	
ch_invalid_point_type	
ch_anomalies	
ch_voids	
ch_attractors	
ch_pseudos	
ch_current_or_sequential	
ch_current	
ch_sequential	
ch_num_points	
ch_invalid_number	
ch_reprompt_num_points	
ch_mte	
ch_lte	
no_loc_or_reset	
ida_found	
ida_type	
ida_radius	
ida_power	
